PS C:\Users\renev\IdeaProjects\MSA-Hotelio\tasks\task2> docker ps
CONTAINER ID   IMAGE                             COMMAND                  CREATED          STATUS          PORTS                                        NAMES
ec9c9a295d9a   task2-booking-service             "dotnet BookingServi…"   34 seconds ago   Up 25 seconds   0.0.0.0:5555->5555/tcp                       task2-booking-service-1
bf4b334d107a   task2-booking-history-service     "dotnet BookingHisto…"   34 seconds ago   Up 26 seconds                                                task2-booking-history-service-1
b4ae2c891010   provectuslabs/kafka-ui:latest     "/bin/sh -c 'java --…"   34 seconds ago   Up 31 seconds   8080/tcp, 0.0.0.0:8090->8081/tcp             task2-kafka-ui-1
3de610eff5f9   postgres:15                       "docker-entrypoint.s…"   34 seconds ago   Up 32 seconds   0.0.0.0:5432->5432/tcp                       hotelio-db
1cac5a673acb   postgres:15                       "docker-entrypoint.s…"   34 seconds ago   Up 32 seconds   0.0.0.0:5434->5432/tcp                       booking-history-service-db
6052bc4e7956   confluentinc/cp-zookeeper:7.2.1   "/etc/confluent/dock…"   34 seconds ago   Up 32 seconds   2888/tcp, 0.0.0.0:2181->2181/tcp, 3888/tcp   task2-zookeeper-1
29156d3c4110   postgres:15                       "docker-entrypoint.s…"   34 seconds ago   Up 32 seconds   0.0.0.0:5433->5432/tcp                       booking-service-db
5b1824667c68   confluentinc/cp-kafka:7.2.1       "/etc/confluent/dock…"   34 seconds ago   Up 32 seconds   0.0.0.0:9092->9092/tcp                       task2-kafka-1
ee6fb177e7e1   task2-monolith                    "java -jar app.jar"      34 seconds ago   Up 32 seconds   0.0.0.0:8084->8080/tcp                       hotelio-monolith
